,ta,ts,speed,kp,kd-kvfb,kd-kvff,ki,simul_settling_time,trial_no,settling_time,Unnamed: 10
255,20.0,20.0,100.0,30.0,2000.0,2000.0,0.006,0.1657,2.0,0.214,
256,20.0,20.0,100.0,30.0,2000.0,2000.0,0.006,0.1657,3.0,0.214,
257,20.0,20.0,100.0,30.0,2000.0,2000.0,0.01,0.1672,1.0,0.164,
258,20.0,20.0,100.0,30.0,2000.0,2000.0,0.01,0.1672,2.0,0.172,
259,20.0,20.0,100.0,30.0,2000.0,2000.0,0.01,0.1672,3.0,0.165,
260,20.0,20.0,100.0,30.0,2000.0,2000.0,0.012,0.1681,1.0,0.192,
261,20.0,20.0,100.0,30.0,2000.0,2000.0,0.012,0.1681,2.0,0.195,
262,20.0,20.0,100.0,30.0,2000.0,2000.0,0.012,0.1681,3.0,0.195,
263,20.0,20.0,100.0,30.0,2000.0,2000.0,0.014,0.1673,1.0,0.188,
264,20.0,20.0,100.0,30.0,2000.0,2000.0,0.014,0.1673,2.0,0.185,
265,20.0,20.0,100.0,30.0,2000.0,2000.0,0.014,0.1673,3.0,0.18,
266,20.0,20.0,100.0,30.0,2000.0,2000.0,0.016,0.1672,1.0,0.176,
267,20.0,20.0,100.0,30.0,2000.0,2000.0,0.016,0.1672,2.0,0.172,
268,20.0,20.0,100.0,30.0,2000.0,2000.0,0.016,0.1672,3.0,0.18,
269,20.0,20.0,100.0,30.0,2000.0,2000.0,0.02,0.1753,1.0,0.182,
270,20.0,20.0,100.0,30.0,2000.0,2000.0,0.02,0.1753,2.0,0.189,
271,20.0,20.0,100.0,30.0,2000.0,2000.0,0.02,0.1753,3.0,0.191,
272,,,,,,,,,,,
273,20.0,20.0,100.0,40.0,1400.0,1400.0,0.006,0.1586,1.0,0.192,
274,20.0,20.0,100.0,40.0,1400.0,1400.0,0.006,0.1586,2.0,0.19,
275,20.0,20.0,100.0,40.0,1400.0,1400.0,0.006,0.1586,3.0,0.192,
276,20.0,20.0,100.0,40.0,1400.0,1400.0,0.01,0.1486,1.0,0.157,
277,20.0,20.0,100.0,40.0,1400.0,1400.0,0.01,0.1486,2.0,0.157,
278,20.0,20.0,100.0,40.0,1400.0,1400.0,0.01,0.1486,3.0,0.159,
279,20.0,20.0,100.0,40.0,1400.0,1400.0,0.012,0.1468,1.0,0.166,
280,20.0,20.0,100.0,40.0,1400.0,1400.0,0.012,0.1468,2.0,0.166,
281,20.0,20.0,100.0,40.0,1400.0,1400.0,0.012,0.1468,3.0,0.172,
282,20.0,20.0,100.0,40.0,1400.0,1400.0,0.014,0.1455,1.0,0.157,
283,20.0,20.0,100.0,40.0,1400.0,1400.0,0.014,0.1455,2.0,0.159,
284,20.0,20.0,100.0,40.0,1400.0,1400.0,0.014,0.1455,3.0,0.159,
285,20.0,20.0,100.0,40.0,1400.0,1400.0,0.016,0.1443,1.0,0.195,
286,20.0,20.0,100.0,40.0,1400.0,1400.0,0.016,0.1443,2.0,0.203,
287,20.0,20.0,100.0,40.0,1400.0,1400.0,0.016,0.1443,3.0,0.195,
291,20.0,20.0,100.0,40.0,1500.0,1500.0,0.006,0.1588,1.0,0.196,
