ta,ts,speed,kp,kd-kvfb,kd-kvff,ki,simul_settling_time,trial_no,settling_time,
20,20,100,40,1500,1500,0.006,0.1588,3,0.201,
20,20,100,40,1500,1500,0.01,0.149,1,0.16,
20,20,100,40,1500,1500,0.01,0.149,2,0.158,
20,20,100,40,1500,1500,0.01,0.149,3,0.159,
20,20,100,40,1500,1500,0.012,0.1474,1,0.166,
20,20,100,40,1500,1500,0.012,0.1474,2,0.166,
20,20,100,40,1500,1500,0.012,0.1474,3,0.159,
20,20,100,40,1500,1500,0.014,0.1462,1,0.165,
20,20,100,40,1500,1500,0.014,0.1462,2,0.167,
20,20,100,40,1500,1500,0.014,0.1462,3,0.167,
20,20,100,40,1500,1500,0.016,0.1449,1,0.166,
20,20,100,40,1500,1500,0.016,0.1449,2,0.166,
20,20,100,40,1500,1500,0.016,0.1449,3,0.169,
20,20,100,40,1500,1500,0.02,0.1425,1,발산,
20,20,100,40,1500,1500,0.02,0.1425,2,발산,
20,20,100,40,1500,1500,0.02,0.1425,3,발산,
20,20,100,40,1600,1600,0.006,0.159,1,0.192,
20,20,100,40,1600,1600,0.006,0.159,2,0.193,
20,20,100,40,1600,1600,0.006,0.159,3,0.198,
20,20,100,40,1600,1600,0.01,0.1496,1,0.159,
20,20,100,40,1600,1600,0.01,0.1496,2,0.164,
20,20,100,40,1600,1600,0.01,0.1496,3,0.162,
20,20,100,40,1600,1600,0.012,0.1478,1,0.169,
20,20,100,40,1600,1600,0.012,0.1478,2,0.17,
20,20,100,40,1600,1600,0.012,0.1478,3,0.167,
20,20,100,40,1600,1600,0.014,0.1467,1,0.16,
20,20,100,40,1600,1600,0.014,0.1467,2,0.167,
20,20,100,40,1600,1600,0.014,0.1467,3,0.162,
20,20,100,40,1600,1600,0.016,0.1456,1,0.162,
20,20,100,40,1600,1600,0.016,0.1456,2,0.167,
20,20,100,40,1600,1600,0.016,0.1456,3,0.169,
20,20,100,40,1600,1600,0.02,0.1433,1,발산,
20,20,100,40,1600,1600,0.02,0.1433,2,발산,
20,20,100,40,1600,1600,0.02,0.1433,3,발산,
20,20,100,40,1700,1700,0.006,0.1593,1,0.195,
20,20,100,40,1700,1700,0.006,0.1593,2,0.201,
20,20,100,40,1700,1700,0.006,0.1593,3,0.197,
20,20,100,40,1700,1700,0.01,0.1501,1,0.152,
20,20,100,40,1700,1700,0.01,0.1501,2,0.151,
20,20,100,40,1700,1700,0.01,0.1501,3,0.154,
20,20,100,40,1700,1700,0.012,0.1485,1,0.172,
20,20,100,40,1700,1700,0.012,0.1485,2,0.174,
20,20,100,40,1700,1700,0.012,0.1485,3,0.176,
20,20,100,40,1700,1700,0.014,0.1473,1,0.169,
20,20,100,40,1700,1700,0.014,0.1473,2,0.169,
20,20,100,40,1700,1700,0.014,0.1473,3,0.17,
20,20,100,40,1700,1700,0.016,0.1464,1,0.159,
20,20,100,40,1700,1700,0.016,0.1464,2,0.159,
20,20,100,40,1700,1700,0.016,0.1464,3,0.157,
